id,prediction
2632,1
2401,0
3922,0
896,0
539,0
562,0
4437,0
176,0
1769,0
1240,0
5176,0
5072,1
3152,0
3516,0
5665,0
3148,0
2019,1
1685,1
1084,0
5429,1
5421,1
3390,0
4662,0
2177,0
1554,1
2073,0
2098,0
2264,0
5847,1
655,1
2681,1
5766,1
1144,0
4537,0
3998,1
5143,1
4541,0
759,0
4452,1
5737,0
2581,1
4682,0
910,1
2304,0
5489,1
385,0
2874,0
974,1
4872,0
3926,0
1794,0
1199,0
950,1
5205,0
652,0
2311,0
1526,0
358,1
4955,0
1611,1
877,0
4535,1
2154,0
227,0
863,0
3755,0
81,0
2763,0
5953,0
1102,0
1570,1
2915,1
3086,1
3200,0
3928,0
442,1
3248,0
2416,0
1566,1
542,0
2710,1
1139,0
1654,1
3078,0
4133,0
4951,0
4742,1
5572,0
5597,0
3386,1
3359,0
3610,1
3064,0
1466,1
3393,1
2321,0
2272,0
713,0
2424,0
2406,0
3447,0
1103,1
2533,0
1870,0
2586,0
2241,1
3595,1
4597,1
5908,0
1917,1
705,1
1448,1
791,0
1289,1
643,0
2538,0
3133,0
3378,0
5164,0
4754,1
3002,1
1780,0
2787,1
379,0
2441,0
5410,0
5322,0
5235,0
251,0
1792,0
228,1
4495,1
2183,0
5795,1
4502,0
2317,0
5654,0
2553,0
4685,1
5449,0
1982,0
364,1
3421,0
2550,1
2363,0
4818,0
3494,1
4789,1
3788,0
108,0
1299,1
2380,0
2785,1
2608,0
4987,0
3060,0
5904,0
4623,0
4020,1
4180,0
5041,1
4670,1
4125,0
3180,1
4550,1
3751,0
2000,0
1292,0
1175,1
3311,1
3287,0
3010,0
3743,0
3674,1
3561,0
4031,0
4571,0
4700,0
1329,0
3798,0
2568,0
2122,0
4981,1
1896,0
3933,0
3094,0
5878,0
2197,0
1373,0
3759,0
3706,0
5849,1
104,0
4093,0
3705,1
3825,1
3214,0
316,1
53,1
3092,1
5327,1
3344,1
5509,1
2743,0
274,1
992,0
1840,0
499,0
3539,0
2716,0
470,1
5936,0
1538,0
1361,1
117,1
2487,0
47,1
2265,0
663,0
5340,0
2522,1
2402,0
1254,0
2101,1
18,1
4610,0
4356,0
5693,1
5020,0
3502,1
5940,0
3533,0
3577,0
438,0
1157,1
2971,0
4419,1
3243,1
5055,1
4261,0
112,0
714,0
3392,0
1994,0
1143,0
4100,0
902,0
1511,1
1190,1
4785,1
4817,1
2224,0
3090,0
5819,0
4528,0
674,0
4807,1
1170,1
80,0
419,1
5114,0
5097,1
993,1
3891,1
5932,0
3846,1
732,0
575,0
2335,0
540,0
